jj=196, kk=390, dout(391)=-1.000000+j0.000000
jj=197, kk=70, dout(71)=-1.000000+j0.000000
jj=198, kk=326, dout(327)=-1.000000+j0.000000
jj=199, kk=198, dout(199)=-1.000000+j0.000000
jj=200, kk=454, dout(455)=-1.000000+j0.000000
jj=201, kk=38, dout(39)=-1.000000+j0.000000
jj=202, kk=294, dout(295)=-1.000000+j0.000000
jj=203, kk=166, dout(167)=-1.000000+j0.000000
jj=204, kk=422, dout(423)=-1.000000+j0.000000
jj=205, kk=102, dout(103)=-1.000000+j0.000000
jj=206, kk=358, dout(359)=-1.000000+j0.000000
jj=207, kk=230, dout(231)=-1.000000+j0.000000
jj=208, kk=486, dout(487)=-1.000000+j0.000000
jj=209, kk=22, dout(23)=-1.000000+j0.000000
jj=210, kk=278, dout(279)=-1.000000+j0.000000
jj=211, kk=150, dout(151)=-1.000000+j0.000000
jj=212, kk=406, dout(407)=-1.000000+j0.000000
jj=213, kk=86, dout(87)=-1.000000+j0.000000
jj=214, kk=342, dout(343)=-1.000000+j0.000000
jj=215, kk=214, dout(215)=-1.000000+j0.000000
jj=216, kk=470, dout(471)=-1.000000+j0.000000
jj=217, kk=54, dout(55)=-1.000000+j0.000000
jj=218, kk=310, dout(311)=-1.000000+j0.000000
jj=219, kk=182, dout(183)=-1.000000+j0.000000
jj=220, kk=438, dout(439)=-1.000000+j0.000000
jj=221, kk=118, dout(119)=-1.000000+j0.000000
jj=222, kk=374, dout(375)=-1.000000+j0.000000
jj=223, kk=246, dout(247)=-1.000000+j0.000000
jj=224, kk=502, dout(503)=-1.000000+j0.000000
jj=225, kk=14, dout(15)=-1.000000+j0.000000
jj=226, kk=270, dout(271)=-1.000000+j0.000000
jj=227, kk=142, dout(143)=-1.000000+j0.000000
jj=228, kk=398, dout(399)=-1.000000+j0.000000
jj=229, kk=78, dout(79)=-1.000000+j0.000000
jj=230, kk=334, dout(335)=-1.000000+j0.000000
jj=231, kk=206, dout(207)=-1.000000+j0.000000
jj=232, kk=462, dout(463)=-1.000000+j0.000000
jj=233, kk=46, dout(47)=-1.000000+j0.000000
jj=234, kk=302, dout(303)=-1.000000+j0.000000
jj=235, kk=174, dout(175)=-1.000000+j0.000000
jj=236, kk=430, dout(431)=-1.000000+j0.000000
jj=237, kk=110, dout(111)=-1.000000+j0.000000
jj=238, kk=366, dout(367)=-1.000000+j0.000000
jj=239, kk=238, dout(239)=-1.000000+j0.000000
jj=240, kk=494, dout(495)=-1.000000+j0.000000
jj=241, kk=30, dout(31)=-1.000000+j0.000000
jj=242, kk=286, dout(287)=-1.000000+j0.000000
jj=243, kk=158, dout(159)=-1.000000+j0.000000
jj=244, kk=414, dout(415)=-1.000000+j0.000000
jj=245, kk=94, dout(95)=-1.000000+j0.000000
jj=246, kk=350, dout(351)=-1.000000+j0.000000
jj=247, kk=222, dout(223)=-1.000000+j0.000000
jj=248, kk=478, dout(479)=-1.000000+j0.000000
jj=249, kk=62, dout(63)=-1.000000+j0.000000
jj=250, kk=318, dout(319)=-1.000000+j0.000000
jj=251, kk=190, dout(191)=-1.000000+j0.000000
jj=252, kk=446, dout(447)=-1.000000+j0.000000
jj=253, kk=126, dout(127)=-1.000000+j0.000000
jj=254, kk=382, dout(383)=-1.000000+j0.000000
jj=255, kk=254, dout(255)=-1.000000+j0.000000
jj=256, kk=510, dout(511)=-1.000000+j0.000000
jj=257, kk=1, dout(2)=16380.964209+j0.000025
jj=258, kk=257, dout(258)=-9.149764+j0.000074
jj=259, kk=129, dout(130)=-12.394435+j-0.000048
jj=260, kk=385, dout(386)=-5.766066+j0.000022
jj=261, kk=65, dout(66)=3.989774+j-0.000029
jj=262, kk=321, dout(322)=4.102179+j-0.000027
jj=263, kk=193, dout(194)=-10.592280+j0.000054
jj=264, kk=449, dout(450)=2.300717+j-0.000009
jj=265, kk=33, dout(34)=-8.107180+j-0.000013
jj=266, kk=289, dout(290)=-0.589909+j-0.000034
jj=267, kk=161, dout(162)=-9.009054+j-0.000019
jj=268, kk=417, dout(418)=8.947836+j-0.000053
jj=269, kk=97, dout(98)=6.539628+j0.000012
jj=270, kk=353, dout(354)=5.730414+j-0.000013
jj=271, kk=225, dout(226)=-12.816068+j-0.000074
jj=272, kk=481, dout(482)=5.344338+j-0.000001
jj=273, kk=17, dout(18)=-3.668758+j-0.000054
jj=274, kk=273, dout(274)=-13.089856+j-0.000034
jj=275, kk=145, dout(146)=-22.154940+j-0.000012
jj=276, kk=401, dout(402)=-19.881284+j0.000036
jj=277, kk=81, dout(82)=-17.441347+j-0.000038
jj=278, kk=337, dout(338)=-1.326522+j0.000050
jj=279, kk=209, dout(210)=17.556181+j-0.000029
jj=280, kk=465, dout(466)=-12.348373+j0.000019
jj=281, kk=49, dout(50)=-4.989652+j0.000041
jj=282, kk=305, dout(306)=-1.664379+j-0.000106
jj=283, kk=177, dout(178)=-5.220548+j-0.000005
jj=284, kk=433, dout(434)=-10.000344+j0.000013
jj=285, kk=113, dout(114)=9.653328+j-0.000003
jj=286, kk=369, dout(370)=4.873737+j-0.000071
jj=287, kk=241, dout(242)=7.541586+j0.000036
jj=288, kk=497, dout(498)=12.265474+j0.000044
jj=289, kk=9, dout(10)=-8.431987+j-0.000009
jj=290, kk=265, dout(266)=-18.510176+j-0.000017
jj=291, kk=137, dout(138)=13.141082+j0.000043
jj=292, kk=393, dout(394)=-6.816280+j-0.000093
jj=293, kk=73, dout(74)=2.771959+j0.000013
jj=294, kk=329, dout(330)=7.095736+j0.000007
jj=295, kk=201, dout(202)=-23.175243+j-0.000013
jj=296, kk=457, dout(458)=3.439562+j0.000016
jj=297, kk=41, dout(42)=-3.841536+j0.000049
jj=298, kk=297, dout(298)=-8.617218+j0.000109
jj=299, kk=169, dout(170)=-3.347537+j-0.000149
jj=300, kk=425, dout(426)=-11.305555+j0.000022
jj=301, kk=105, dout(106)=-4.449378+j0.000054
jj=302, kk=361, dout(362)=-5.191516+j-0.000036
jj=303, kk=233, dout(234)=-4.299131+j0.000057
jj=304, kk=489, dout(490)=-0.938631+j0.000051
jj=305, kk=25, dout(26)=0.092094+j0.000045
jj=306, kk=281, dout(282)=4.618023+j-0.000019
jj=307, kk=153, dout(154)=20.310007+j-0.000041
jj=308, kk=409, dout(410)=-4.836095+j0.000093
jj=309, kk=89, dout(90)=-6.763832+j0.000065
jj=310, kk=345, dout(346)=1.860513+j-0.000035
jj=311, kk=217, dout(218)=-11.448823+j-0.000058
jj=312, kk=473, dout(474)=-3.653661+j-0.000035
jj=313, kk=57, dout(58)=12.380446+j0.000051
jj=314, kk=313, dout(314)=1.498568+j-0.000053
jj=315, kk=185, dout(186)=11.011722+j-0.000013
jj=316, kk=441, dout(442)=12.568835+j-0.000003
jj=317, kk=121, dout(122)=20.816642+j-0.000017
jj=318, kk=377, dout(378)=-2.651817+j-0.000002
jj=319, kk=249, dout(250)=-2.025469+j0.000096
jj=320, kk=505, dout(506)=2.892056+j0.000070
jj=321, kk=5, dout(6)=9.773983+j-0.050035
jj=322, kk=261, dout(262)=17.723342+j-0.000004
jj=323, kk=133, dout(134)=-14.332277+j-0.001136
jj=324, kk=389, dout(390)=9.295810+j0.001265
jj=325, kk=69, dout(70)=-1.487245+j-0.002794
jj=326, kk=325, dout(326)=-8.457521+j0.000561
jj=327, kk=197, dout(198)=11.012632+j-0.000521
jj=328, kk=453, dout(454)=-2.541967+j0.003178
jj=329, kk=37, dout(38)=-6.693052+j-0.005447
jj=330, kk=293, dout(294)=-0.549760+j0.000270
jj=331, kk=165, dout(166)=-2.024889+j-0.000789
jj=332, kk=421, dout(422)=-7.175692+j0.001896
jj=333, kk=101, dout(102)=0.109776+j-0.001748
jj=334, kk=357, dout(358)=1.436796+j0.000825
jj=335, kk=229, dout(230)=-19.197670+j-0.000182
jj=336, kk=485, dout(486)=-15.981557+j0.007076
jj=337, kk=21, dout(22)=-6.713179+j-0.009943
jj=338, kk=277, dout(278)=4.632780+j0.000230
jj=339, kk=149, dout(150)=-2.072511+j-0.000864
jj=340, kk=405, dout(406)=-3.437302+j0.001632
jj=341, kk=85, dout(86)=-8.734583+j-0.002130
jj=342, kk=341, dout(342)=10.157263+j0.000701
jj=343, kk=213, dout(214)=-1.686348+j-0.000424
jj=344, kk=469, dout(470)=0.348007+j0.004469
jj=345, kk=53, dout(54)=0.084164+j-0.003653
jj=346, kk=309, dout(310)=-6.473227+j0.000442
jj=347, kk=181, dout(182)=-13.866740+j-0.000595
jj=348, kk=437, dout(438)=-0.706403+j0.002526
jj=349, kk=117, dout(118)=15.803440+j-0.001397
jj=350, kk=373, dout(374)=-14.933290+j0.001020
jj=351, kk=245, dout(246)=-4.063658+j-0.000128
jj=352, kk=501, dout(502)=-0.012234+j0.016606
jj=353, kk=13, dout(14)=8.532090+j-0.016640
jj=354, kk=269, dout(270)=13.506761+j0.000196
jj=355, kk=141, dout(142)=3.532806+j-0.001213
jj=356, kk=397, dout(398)=-17.509334+j0.001340
jj=357, kk=77, dout(78)=6.364892+j-0.002458
jj=358, kk=333, dout(334)=-7.676460+j0.000550
jj=359, kk=205, dout(206)=6.704770+j-0.000279
jj=360, kk=461, dout(462)=-8.183128+j0.003677
jj=361, kk=45, dout(46)=-5.381473+j-0.004400
jj=362, kk=301, dout(302)=19.006229+j0.000290
jj=363, kk=173, dout(174)=-8.160413+j-0.000702
jj=364, kk=429, dout(430)=-6.115530+j0.002230
jj=365, kk=109, dout(110)=12.203247+j-0.001517
jj=366, kk=365, dout(366)=4.068268+j0.000920
jj=367, kk=237, dout(238)=-3.659965+j-0.000116
jj=368, kk=493, dout(494)=-0.079065+j0.010067
jj=369, kk=29, dout(30)=-0.976663+j-0.007080
jj=370, kk=285, dout(286)=7.090664+j0.000190
jj=371, kk=157, dout(158)=1.573352+j-0.000947
jj=372, kk=413, dout(414)=10.028325+j0.001818
jj=373, kk=93, dout(94)=2.812249+j-0.001940
jj=374, kk=349, dout(350)=-0.233876+j0.000791
jj=375, kk=221, dout(222)=6.399263+j-0.000295
jj=376, kk=477, dout(478)=-10.247739+j0.005552
jj=377, kk=61, dout(62)=12.664464+j-0.003181
jj=378, kk=317, dout(318)=-6.111100+j0.000479
jj=379, kk=189, dout(190)=1.677433+j-0.000610
jj=380, kk=445, dout(446)=-1.749421+j0.002694
jj=381, kk=125, dout(126)=-5.880360+j-0.001388
jj=382, kk=381, dout(382)=-2.373321+j0.001149
jj=383, kk=253, dout(254)=3.491480+j-0.000071
jj=384, kk=509, dout(510)=7.652664+j0.049986
jj=385, kk=3, dout(4)=7.652711+j-0.049964
jj=386, kk=259, dout(260)=3.491467+j0.000074
jj=387, kk=131, dout(132)=-2.373326+j-0.001136
jj=388, kk=387, dout(388)=-5.880415+j0.001396
jj=389, kk=67, dout(68)=-1.749423+j-0.002758
jj=390, kk=323, dout(324)=1.677415+j0.000631
jj=391, kk=195, dout(196)=-6.111049+j-0.000503
jj=392, kk=451, dout(452)=12.664425+j0.003202
jj=393, kk=35, dout(36)=-10.247874+j-0.005511
jj=394, kk=291, dout(292)=6.399368+j0.000293
jj=395, kk=163, dout(164)=-0.233897+j-0.000780
jj=396, kk=419, dout(420)=2.812272+j0.001880
jj=397, kk=99, dout(100)=10.028327+j-0.001800
jj=398, kk=355, dout(356)=1.573394+j0.000956
jj=399, kk=227, dout(228)=7.090654+j-0.000222
jj=400, kk=483, dout(484)=-0.976635+j0.007094
jj=401, kk=19, dout(20)=-0.079051+j-0.009991
jj=402, kk=275, dout(276)=-3.660003+j0.000114
jj=403, kk=147, dout(148)=4.068245+j-0.000968
jj=404, kk=403, dout(404)=12.203341+j0.001517
jj=405, kk=83, dout(84)=-6.115572+j-0.002190
jj=406, kk=339, dout(340)=-8.160446+j0.000710
jj=407, kk=211, dout(212)=19.006201+j-0.000380
jj=408, kk=467, dout(468)=-5.381385+j0.004416
jj=409, kk=51, dout(52)=-8.183246+j-0.003671
jj=410, kk=307, dout(308)=6.704867+j0.000302
jj=411, kk=179, dout(180)=-7.676571+j-0.000596
jj=412, kk=435, dout(436)=6.364983+j0.002506
jj=413, kk=115, dout(116)=-17.509324+j-0.001386
jj=414, kk=371, dout(372)=3.532715+j0.001162
jj=415, kk=243, dout(244)=13.506795+j-0.000123
jj=416, kk=499, dout(500)=8.532147+j0.016633
jj=417, kk=11, dout(12)=-0.012219+j-0.016574
jj=418, kk=267, dout(268)=-4.063662+j0.000095
jj=419, kk=139, dout(140)=-14.933371+j-0.000972
jj=420, kk=395, dout(396)=15.803507+j0.001369
jj=421, kk=75, dout(76)=-0.706468+j-0.002517
jj=422, kk=331, dout(332)=-13.866615+j0.000576
jj=423, kk=203, dout(204)=-6.473169+j-0.000458
jj=424, kk=459, dout(460)=0.084128+j0.003661
jj=425, kk=43, dout(44)=0.348000+j-0.004493
jj=426, kk=299, dout(300)=-1.686364+j0.000420
jj=427, kk=171, dout(172)=10.157290+j-0.000682
jj=428, kk=427, dout(428)=-8.734646+j0.002096
