twf_m0(73)=118+j-49, pre_bfly02(73)=1259+j7363, index1_re(73)=8, index1_im(73)=8, bfly02(73)=78+j460
twf_m0(74)=116+j-55, pre_bfly02(74)=123+j2357, index1_re(74)=8, index1_im(74)=8, bfly02(74)=7+j147
twf_m0(75)=113+j-60, pre_bfly02(75)=1066+j1462, index1_re(75)=8, index1_im(75)=8, bfly02(75)=66+j91
twf_m0(76)=110+j-66, pre_bfly02(76)=1628+j-5764, index1_re(76)=8, index1_im(76)=8, bfly02(76)=101+j-361
twf_m0(77)=106+j-71, pre_bfly02(77)=-538+j-3325, index1_re(77)=8, index1_im(77)=8, bfly02(77)=-34+j-208
twf_m0(78)=103+j-76, pre_bfly02(78)=-1035+j1400, index1_re(78)=8, index1_im(78)=8, bfly02(78)=-65+j87
twf_m0(79)=99+j-81, pre_bfly02(79)=1926+j-4716, index1_re(79)=8, index1_im(79)=8, bfly02(79)=120+j-295
twf_m0(80)=95+j-86, pre_bfly02(80)=-4909+j2024, index1_re(80)=8, index1_im(80)=8, bfly02(80)=-307+j126
twf_m0(81)=91+j-91, pre_bfly02(81)=4368+j-2366, index1_re(81)=8, index1_im(81)=8, bfly02(81)=273+j-148
twf_m0(82)=86+j-95, pre_bfly02(82)=6052+j-7831, index1_re(82)=8, index1_im(82)=8, bfly02(82)=378+j-490
twf_m0(83)=81+j-99, pre_bfly02(83)=-9117+j-12087, index1_re(83)=8, index1_im(83)=8, bfly02(83)=-570+j-756
twf_m0(84)=76+j-103, pre_bfly02(84)=-1021+j-6162, index1_re(84)=8, index1_im(84)=8, bfly02(84)=-64+j-386
twf_m0(85)=71+j-106, pre_bfly02(85)=8163+j5007, index1_re(85)=8, index1_im(85)=8, bfly02(85)=510+j312
twf_m0(86)=66+j-110, pre_bfly02(86)=3630+j-4554, index1_re(86)=8, index1_im(86)=8, bfly02(86)=226+j-285
twf_m0(87)=60+j-113, pre_bfly02(87)=-2885+j-1387, index1_re(87)=8, index1_im(87)=8, bfly02(87)=-181+j-87
twf_m0(88)=55+j-116, pre_bfly02(88)=9739+j1634, index1_re(88)=8, index1_im(88)=8, bfly02(88)=608+j102
twf_m0(89)=49+j-118, pre_bfly02(89)=-4705+j2335, index1_re(89)=8, index1_im(89)=8, bfly02(89)=-295+j145
twf_m0(90)=43+j-121, pre_bfly02(90)=944+j1562, index1_re(90)=8, index1_im(90)=8, bfly02(90)=59+j97
twf_m0(91)=37+j-122, pre_bfly02(91)=3784+j-7645, index1_re(91)=8, index1_im(91)=8, bfly02(91)=236+j-478
twf_m0(92)=31+j-124, pre_bfly02(92)=-2914+j1643, index1_re(92)=8, index1_im(92)=8, bfly02(92)=-183+j102
twf_m0(93)=25+j-126, pre_bfly02(93)=-1961+j2623, index1_re(93)=8, index1_im(93)=8, bfly02(93)=-123+j163
twf_m0(94)=19+j-127, pre_bfly02(94)=-6367+j4371, index1_re(94)=8, index1_im(94)=8, bfly02(94)=-398+j273
twf_m0(95)=13+j-127, pre_bfly02(95)=10454+j5690, index1_re(95)=8, index1_im(95)=8, bfly02(95)=653+j355
twf_m0(96)=6+j-128, pre_bfly02(96)=-5722+j9866, index1_re(96)=8, index1_im(96)=8, bfly02(96)=-358+j616
twf_m0(97)=0+j-128, pre_bfly02(97)=4224+j-4224, index1_re(97)=8, index1_im(97)=8, bfly02(97)=264+j-264
twf_m0(98)=-6+j-128, pre_bfly02(98)=-6304+j10558, index1_re(98)=8, index1_im(98)=8, bfly02(98)=-394+j659
twf_m0(99)=-13+j-127, pre_bfly02(99)=9944+j4372, index1_re(99)=8, index1_im(99)=8, bfly02(99)=621+j273
twf_m0(100)=-19+j-127, pre_bfly02(100)=12560+j-1100, index1_re(100)=8, index1_im(100)=8, bfly02(100)=785+j-69
twf_m0(101)=-25+j-126, pre_bfly02(101)=564+j-6398, index1_re(101)=8, index1_im(101)=8, bfly02(101)=35+j-400
twf_m0(102)=-31+j-124, pre_bfly02(102)=1085+j-930, index1_re(102)=8, index1_im(102)=8, bfly02(102)=67+j-59
twf_m0(103)=-37+j-122, pre_bfly02(103)=-2255+j1350, index1_re(103)=8, index1_im(103)=8, bfly02(103)=-141+j84
twf_m0(104)=-43+j-121, pre_bfly02(104)=-3423+j1489, index1_re(104)=8, index1_im(104)=8, bfly02(104)=-214+j93
twf_m0(105)=-49+j-118, pre_bfly02(105)=1108+j-5994, index1_re(105)=8, index1_im(105)=8, bfly02(105)=69+j-375
twf_m0(106)=-55+j-116, pre_bfly02(106)=-8605+j-3166, index1_re(106)=8, index1_im(106)=8, bfly02(106)=-538+j-198
twf_m0(107)=-60+j-113, pre_bfly02(107)=-5639+j1111, index1_re(107)=8, index1_im(107)=8, bfly02(107)=-353+j69
twf_m0(108)=-66+j-110, pre_bfly02(108)=-8206+j-1958, index1_re(108)=8, index1_im(108)=8, bfly02(108)=-513+j-123
twf_m0(109)=-71+j-106, pre_bfly02(109)=1817+j5693, index1_re(109)=8, index1_im(109)=8, bfly02(109)=113+j355
twf_m0(110)=-76+j-103, pre_bfly02(110)=1741+j-12, index1_re(110)=8, index1_im(110)=8, bfly02(110)=108+j-1
twf_m0(111)=-81+j-99, pre_bfly02(111)=2520+j-8838, index1_re(111)=8, index1_im(111)=8, bfly02(111)=157+j-553
twf_m0(112)=-86+j-95, pre_bfly02(112)=-2596+j4770, index1_re(112)=8, index1_im(112)=8, bfly02(112)=-163+j298
twf_m0(113)=-91+j-91, pre_bfly02(113)=-4641+j4459, index1_re(113)=8, index1_im(113)=8, bfly02(113)=-291+j278
twf_m0(114)=-95+j-86, pre_bfly02(114)=2393+j2512, index1_re(114)=8, index1_im(114)=8, bfly02(114)=149+j157
twf_m0(115)=-99+j-81, pre_bfly02(115)=-9846+j-288, index1_re(115)=8, index1_im(115)=8, bfly02(115)=-616+j-18
twf_m0(116)=-103+j-76, pre_bfly02(116)=-4702+j-8719, index1_re(116)=8, index1_im(116)=8, bfly02(116)=-294+j-545
twf_m0(117)=-106+j-71, pre_bfly02(117)=-9937+j-2817, index1_re(117)=8, index1_im(117)=8, bfly02(117)=-622+j-177
twf_m0(118)=-110+j-66, pre_bfly02(118)=-6578+j990, index1_re(118)=8, index1_im(118)=8, bfly02(118)=-412+j61
twf_m0(119)=-113+j-60, pre_bfly02(119)=6741+j2855, index1_re(119)=8, index1_im(119)=8, bfly02(119)=421+j178
twf_m0(120)=-116+j-55, pre_bfly02(120)=-5948+j1158, index1_re(120)=8, index1_im(120)=8, bfly02(120)=-372+j72
twf_m0(121)=-118+j-49, pre_bfly02(121)=864+j-748, index1_re(121)=8, index1_im(121)=8, bfly02(121)=54+j-47
twf_m0(122)=-121+j-43, pre_bfly02(122)=-444+j-2202, index1_re(122)=8, index1_im(122)=8, bfly02(122)=-28+j-138
twf_m0(123)=-122+j-37, pre_bfly02(123)=1965+j-7797, index1_re(123)=8, index1_im(123)=8, bfly02(123)=122+j-488
twf_m0(124)=-124+j-31, pre_bfly02(124)=2883+j-2573, index1_re(124)=8, index1_im(124)=8, bfly02(124)=180+j-161
twf_m0(125)=-126+j-25, pre_bfly02(125)=1231+j-2244, index1_re(125)=8, index1_im(125)=8, bfly02(125)=76+j-141
twf_m0(126)=-127+j-19, pre_bfly02(126)=-1660+j-7130, index1_re(126)=8, index1_im(126)=8, bfly02(126)=-104+j-446
twf_m0(127)=-127+j-13, pre_bfly02(127)=-5395+j3811, index1_re(127)=8, index1_im(127)=8, bfly02(127)=-338+j238
twf_m0(128)=-128+j-6, pre_bfly02(128)=5184+j4348, index1_re(128)=8, index1_im(128)=8, bfly02(128)=324+j271
twf_m0(129)=128+j0, pre_bfly02(129)=-2048+j-2688, index1_re(129)=8, index1_im(129)=8, bfly02(129)=-128+j-168
twf_m0(130)=128+j-3, pre_bfly02(130)=35+j-3971, index1_re(130)=8, index1_im(130)=8, bfly02(130)=2+j-249
twf_m0(131)=128+j-6, pre_bfly02(131)=1188+j-7496, index1_re(131)=8, index1_im(131)=8, bfly02(131)=74+j-469
twf_m0(132)=128+j-9, pre_bfly02(132)=2791+j-2383, index1_re(132)=8, index1_im(132)=8, bfly02(132)=174+j-149
twf_m0(133)=127+j-13, pre_bfly02(133)=-1324+j-6666, index1_re(133)=8, index1_im(133)=8, bfly02(133)=-83+j-417
twf_m0(134)=127+j-16, pre_bfly02(134)=-3922+j-409, index1_re(134)=8, index1_im(134)=8, bfly02(134)=-246+j-26
twf_m0(135)=127+j-19, pre_bfly02(135)=1625+j1315, index1_re(135)=8, index1_im(135)=8, bfly02(135)=101+j82
twf_m0(136)=126+j-22, pre_bfly02(136)=-6338+j1626, index1_re(136)=8, index1_im(136)=8, bfly02(136)=-397+j101
twf_m0(137)=126+j-25, pre_bfly02(137)=-3182+j5084, index1_re(137)=8, index1_im(137)=8, bfly02(137)=-199+j317
twf_m0(138)=125+j-28, pre_bfly02(138)=-11288+j-3510, index1_re(138)=8, index1_im(138)=8, bfly02(138)=-706+j-220
twf_m0(139)=124+j-31, pre_bfly02(139)=4743+j-10013, index1_re(139)=8, index1_im(139)=8, bfly02(139)=296+j-626
twf_m0(140)=123+j-34, pre_bfly02(140)=4738+j-8724, index1_re(140)=8, index1_im(140)=8, bfly02(140)=296+j-546
twf_m0(141)=122+j-37, pre_bfly02(141)=6885+j3374, index1_re(141)=8, index1_im(141)=8, bfly02(141)=430+j210
twf_m0(142)=122+j-40, pre_bfly02(142)=-3440+j-2250, index1_re(142)=8, index1_im(142)=8, bfly02(142)=-215+j-141
twf_m0(143)=121+j-43, pre_bfly02(143)=7496+j1152, index1_re(143)=8, index1_im(143)=8, bfly02(143)=468+j72
twf_m0(144)=119+j-46, pre_bfly02(144)=-2581+j-4200, index1_re(144)=8, index1_im(144)=8, bfly02(144)=-162+j-263
twf_m0(145)=118+j-49, pre_bfly02(145)=-7424+j-5218, index1_re(145)=8, index1_im(145)=8, bfly02(145)=-464+j-327
twf_m0(146)=117+j-52, pre_bfly02(146)=-4186+j5083, index1_re(146)=8, index1_im(146)=8, bfly02(146)=-262+j317
twf_m0(147)=116+j-55, pre_bfly02(147)=-3244+j-4145, index1_re(147)=8, index1_im(147)=8, bfly02(147)=-203+j-260
twf_m0(148)=114+j-58, pre_bfly02(148)=2050+j-1330, index1_re(148)=8, index1_im(148)=8, bfly02(148)=128+j-84
twf_m0(149)=113+j-60, pre_bfly02(149)=2793+j-469, index1_re(149)=8, index1_im(149)=8, bfly02(149)=174+j-30
twf_m0(150)=111+j-63, pre_bfly02(150)=3531+j5187, index1_re(150)=8, index1_im(150)=8, bfly02(150)=220+j324
twf_m0(151)=110+j-66, pre_bfly02(151)=2992+j-3740, index1_re(151)=8, index1_im(151)=8, bfly02(151)=187+j-234
twf_m0(152)=108+j-68, pre_bfly02(152)=2580+j2900, index1_re(152)=8, index1_im(152)=8, bfly02(152)=161+j181
twf_m0(153)=106+j-71, pre_bfly02(153)=6065+j6533, index1_re(153)=8, index1_im(153)=8, bfly02(153)=379+j408
twf_m0(154)=105+j-74, pre_bfly02(154)=2296+j582, index1_re(154)=8, index1_im(154)=8, bfly02(154)=143+j36
twf_m0(155)=103+j-76, pre_bfly02(155)=7715+j-4420, index1_re(155)=8, index1_im(155)=8, bfly02(155)=482+j-277
twf_m0(156)=101+j-79, pre_bfly02(156)=-241+j-1765, index1_re(156)=8, index1_im(156)=8, bfly02(156)=-16+j-111
twf_m0(157)=99+j-81, pre_bfly02(157)=4536+j3726, index1_re(157)=8, index1_im(157)=8, bfly02(157)=283+j232
