jj=202, kk=294, dout(295)=-6+j-1, indexsum=19
jj=203, kk=166, dout(167)=-1+j0, indexsum=22
jj=204, kk=422, dout(423)=-2+j-1, indexsum=19
jj=205, kk=102, dout(103)=-1+j0, indexsum=22
jj=206, kk=358, dout(359)=1+j0, indexsum=19
jj=207, kk=230, dout(231)=-1+j0, indexsum=22
jj=208, kk=486, dout(487)=-2+j0, indexsum=18
jj=209, kk=22, dout(23)=-1+j0, indexsum=22
jj=210, kk=278, dout(279)=2+j1, indexsum=18
jj=211, kk=150, dout(151)=-1+j0, indexsum=22
jj=212, kk=406, dout(407)=4+j-1, indexsum=19
jj=213, kk=86, dout(87)=-1+j0, indexsum=22
jj=214, kk=342, dout(343)=-1+j-1, indexsum=20
jj=215, kk=214, dout(215)=-1+j0, indexsum=22
jj=216, kk=470, dout(471)=-1+j0, indexsum=19
jj=217, kk=54, dout(55)=-1+j0, indexsum=22
jj=218, kk=310, dout(311)=-5+j0, indexsum=19
jj=219, kk=182, dout(183)=-1+j0, indexsum=22
jj=220, kk=438, dout(439)=-1+j1, indexsum=19
jj=221, kk=118, dout(119)=-1+j0, indexsum=22
jj=222, kk=374, dout(375)=2+j0, indexsum=20
jj=223, kk=246, dout(247)=-1+j0, indexsum=22
jj=224, kk=502, dout(503)=-2+j-1, indexsum=19
jj=225, kk=14, dout(15)=-1+j0, indexsum=22
jj=226, kk=270, dout(271)=-4+j-1, indexsum=19
jj=227, kk=142, dout(143)=-1+j0, indexsum=22
jj=228, kk=398, dout(399)=2+j-1, indexsum=20
jj=229, kk=78, dout(79)=-1+j0, indexsum=22
jj=230, kk=334, dout(335)=-5+j0, indexsum=19
jj=231, kk=206, dout(207)=-1+j0, indexsum=22
jj=232, kk=462, dout(463)=2+j-1, indexsum=19
jj=233, kk=46, dout(47)=-1+j0, indexsum=22
jj=234, kk=302, dout(303)=-6+j0, indexsum=19
jj=235, kk=174, dout(175)=-1+j0, indexsum=22
jj=236, kk=430, dout(431)=1+j0, indexsum=20
jj=237, kk=110, dout(111)=-1+j0, indexsum=22
jj=238, kk=366, dout(367)=-1+j-1, indexsum=19
jj=239, kk=238, dout(239)=-1+j0, indexsum=22
jj=240, kk=494, dout(495)=-5+j-2, indexsum=18
jj=241, kk=30, dout(31)=-1+j0, indexsum=22
jj=242, kk=286, dout(287)=3+j1, indexsum=18
jj=243, kk=158, dout(159)=-1+j0, indexsum=22
jj=244, kk=414, dout(415)=3+j0, indexsum=19
jj=245, kk=94, dout(95)=-1+j0, indexsum=22
jj=246, kk=350, dout(351)=-2+j-1, indexsum=19
jj=247, kk=222, dout(223)=-1+j0, indexsum=22
jj=248, kk=478, dout(479)=-4+j0, indexsum=19
jj=249, kk=62, dout(63)=-1+j0, indexsum=22
jj=250, kk=318, dout(319)=-2+j-1, indexsum=18
jj=251, kk=190, dout(191)=-1+j0, indexsum=22
jj=252, kk=446, dout(447)=4+j0, indexsum=19
jj=253, kk=126, dout(127)=-1+j0, indexsum=22
jj=254, kk=382, dout(383)=1+j-1, indexsum=20
jj=255, kk=254, dout(255)=-1+j0, indexsum=22
jj=256, kk=510, dout(511)=0+j-1, indexsum=10
jj=257, kk=1, dout(2)=-1+j0, indexsum=22
jj=258, kk=257, dout(258)=-3+j0, indexsum=10
jj=259, kk=129, dout(130)=-1+j0, indexsum=22
jj=260, kk=385, dout(386)=1+j0, indexsum=20
jj=261, kk=65, dout(66)=-1+j0, indexsum=22
jj=262, kk=321, dout(322)=4+j-1, indexsum=19
jj=263, kk=193, dout(194)=-1+j0, indexsum=22
jj=264, kk=449, dout(450)=0+j-1, indexsum=19
jj=265, kk=33, dout(34)=-1+j0, indexsum=22
jj=266, kk=289, dout(290)=-3+j0, indexsum=19
jj=267, kk=161, dout(162)=-1+j0, indexsum=22
jj=268, kk=417, dout(418)=-2+j0, indexsum=19
jj=269, kk=97, dout(98)=-1+j0, indexsum=22
jj=270, kk=353, dout(354)=3+j-1, indexsum=19
