jj=153, kk=50, dout(51)=1+j-11, indexsum=14
jj=154, kk=306, dout(307)=-29+j-75, indexsum=14
jj=155, kk=178, dout(179)=20+j77, indexsum=14
jj=156, kk=434, dout(435)=130+j-91, indexsum=14
jj=157, kk=114, dout(115)=-28+j-68, indexsum=14
jj=158, kk=370, dout(371)=172+j-27, indexsum=14
jj=159, kk=242, dout(243)=60+j54, indexsum=13
jj=160, kk=498, dout(499)=119+j-116, indexsum=14
jj=161, kk=10, dout(11)=-96+j-120, indexsum=13
jj=162, kk=266, dout(267)=-53+j-29, indexsum=14
jj=163, kk=138, dout(139)=78+j8, indexsum=14
jj=164, kk=394, dout(395)=-70+j60, indexsum=13
jj=165, kk=74, dout(75)=-41+j110, indexsum=14
jj=166, kk=330, dout(331)=-30+j68, indexsum=14
jj=167, kk=202, dout(203)=13+j-5, indexsum=14
jj=168, kk=458, dout(459)=47+j130, indexsum=13
jj=169, kk=42, dout(43)=148+j62, indexsum=14
jj=170, kk=298, dout(299)=-60+j102, indexsum=14
jj=171, kk=170, dout(171)=-80+j-35, indexsum=14
jj=172, kk=426, dout(427)=-116+j13, indexsum=13
jj=173, kk=106, dout(107)=-28+j7, indexsum=14
jj=174, kk=362, dout(363)=-123+j-5, indexsum=13
jj=175, kk=234, dout(235)=-71+j-86, indexsum=14
jj=176, kk=490, dout(491)=4+j46, indexsum=14
jj=177, kk=26, dout(27)=-32+j-83, indexsum=14
jj=178, kk=282, dout(283)=-85+j-59, indexsum=14
jj=179, kk=154, dout(155)=42+j11, indexsum=14
jj=180, kk=410, dout(411)=-20+j-22, indexsum=14
jj=181, kk=90, dout(91)=8+j-22, indexsum=14
jj=182, kk=346, dout(347)=31+j-47, indexsum=13
jj=183, kk=218, dout(219)=178+j37, indexsum=14
jj=184, kk=474, dout(475)=104+j-25, indexsum=14
jj=185, kk=58, dout(59)=-73+j-125, indexsum=14
jj=186, kk=314, dout(315)=-34+j-8, indexsum=14
jj=187, kk=186, dout(187)=21+j9, indexsum=14
jj=188, kk=442, dout(443)=-48+j59, indexsum=14
jj=189, kk=122, dout(123)=-50+j124, indexsum=14
jj=190, kk=378, dout(379)=-81+j-43, indexsum=14
jj=191, kk=250, dout(251)=-24+j186, indexsum=13
jj=192, kk=506, dout(507)=-33+j-11, indexsum=13
jj=193, kk=6, dout(7)=68+j3, indexsum=11
jj=194, kk=262, dout(263)=13+j29, indexsum=14
jj=195, kk=134, dout(135)=16+j208, indexsum=14
jj=196, kk=390, dout(391)=-140+j-17, indexsum=14
jj=197, kk=70, dout(71)=-17+j-155, indexsum=14
jj=198, kk=326, dout(327)=160+j101, indexsum=13
jj=199, kk=198, dout(199)=-82+j19, indexsum=13
jj=200, kk=454, dout(455)=146+j50, indexsum=13
jj=201, kk=38, dout(39)=31+j56, indexsum=14
jj=202, kk=294, dout(295)=23+j-96, indexsum=14
jj=203, kk=166, dout(167)=61+j-2, indexsum=14
jj=204, kk=422, dout(423)=-39+j-2, indexsum=14
jj=205, kk=102, dout(103)=-82+j48, indexsum=14
jj=206, kk=358, dout(359)=-68+j-27, indexsum=13
jj=207, kk=230, dout(231)=32+j-34, indexsum=13
jj=208, kk=486, dout(487)=-51+j-41, indexsum=13
jj=209, kk=22, dout(23)=56+j29, indexsum=13
