sig_pow(ii = 214)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 215)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 216)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 217)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 218)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 219)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 220)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 221)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 222)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 223)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 224)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 225)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 226)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 227)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 228)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 229)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 230)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 231)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 232)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 233)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 234)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 235)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 236)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 237)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 238)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.003906
sig_pow(ii = 239)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 240)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 241)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 242)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.015625
sig_pow(ii = 243)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 244)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 245)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 246)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 247)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 248)=0.000000, noise_pow(ii)=0.097656, fft_out_fixed=0.000000
sig_pow(ii = 249)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 250)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 251)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 252)=0.000000, noise_pow(ii)=0.097656, fft_out_fixed=0.000000
sig_pow(ii = 253)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 254)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 255)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 256)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 257)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 258)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.015625
sig_pow(ii = 259)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 260)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.003906
sig_pow(ii = 261)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 262)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 263)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 264)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 265)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 266)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 267)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 268)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.015625
