sig_pow(ii)=6.090405, noise_pow(ii)=0.007735
sig_pow(ii)=14.634129, noise_pow(ii)=0.061542
sig_pow(ii)=46.721808, noise_pow(ii)=0.034271
sig_pow(ii)=413.294576, noise_pow(ii)=0.044930
sig_pow(ii)=119.958772, noise_pow(ii)=0.014818
sig_pow(ii)=83.031855, noise_pow(ii)=0.027782
sig_pow(ii)=77.059802, noise_pow(ii)=0.008421
sig_pow(ii)=55.931358, noise_pow(ii)=0.050485
sig_pow(ii)=10.440232, noise_pow(ii)=0.014068
sig_pow(ii)=27.597693, noise_pow(ii)=0.116633
sig_pow(ii)=54.781111, noise_pow(ii)=0.001462
sig_pow(ii)=96.191058, noise_pow(ii)=0.019858
sig_pow(ii)=76.357891, noise_pow(ii)=0.005109
sig_pow(ii)=200.000780, noise_pow(ii)=0.065947
sig_pow(ii)=43.798794, noise_pow(ii)=0.033586
sig_pow(ii)=24.925166, noise_pow(ii)=0.109600
sig_pow(ii)=36.852021, noise_pow(ii)=0.001754
sig_pow(ii)=24.413206, noise_pow(ii)=0.040486
sig_pow(ii)=42.242307, noise_pow(ii)=0.018660
sig_pow(ii)=100.801919, noise_pow(ii)=0.020206
sig_pow(ii)=44.840633, noise_pow(ii)=0.007513
sig_pow(ii)=43.268947, noise_pow(ii)=0.018515
sig_pow(ii)=75.238388, noise_pow(ii)=0.003055
sig_pow(ii)=33.198497, noise_pow(ii)=0.008415
sig_pow(ii)=145.763060, noise_pow(ii)=0.000286
sig_pow(ii)=114.632618, noise_pow(ii)=0.006766
sig_pow(ii)=111.863383, noise_pow(ii)=0.013347
sig_pow(ii)=85.842921, noise_pow(ii)=0.003606
sig_pow(ii)=1.979384, noise_pow(ii)=0.009767
sig_pow(ii)=18.255824, noise_pow(ii)=0.016633
sig_pow(ii)=4.179970, noise_pow(ii)=0.042232
sig_pow(ii)=112.957667, noise_pow(ii)=0.011082
sig_pow(ii)=2.492716, noise_pow(ii)=0.009806
sig_pow(ii)=78.691269, noise_pow(ii)=0.000341
sig_pow(ii)=12.893028, noise_pow(ii)=0.048202
sig_pow(ii)=304.621291, noise_pow(ii)=0.022630
sig_pow(ii)=63.329906, noise_pow(ii)=0.029523
sig_pow(ii)=56.249440, noise_pow(ii)=0.027194
sig_pow(ii)=190.582814, noise_pow(ii)=0.000763
sig_pow(ii)=92.019090, noise_pow(ii)=0.001098
sig_pow(ii)=54.753886, noise_pow(ii)=0.031771
sig_pow(ii)=113.281808, noise_pow(ii)=0.038724
sig_pow(ii)=33.719173, noise_pow(ii)=0.000316
sig_pow(ii)=214.742748, noise_pow(ii)=0.046681
sig_pow(ii)=19.980824, noise_pow(ii)=0.025078
sig_pow(ii)=53.417853, noise_pow(ii)=0.026302
sig_pow(ii)=38.682721, noise_pow(ii)=0.011828
sig_pow(ii)=148.173113, noise_pow(ii)=0.016245
