pre_bfly12(235)=25574+j-191093, index2_re(235)=6, index2_im(235)=6, bfly12(235)=199+j-1493
pre_bfly12(236)=-37088+j-235690, index2_re(236)=6, index2_im(236)=6, bfly12(236)=-290+j-1842
pre_bfly12(237)=146+j-137578, index2_re(237)=6, index2_im(237)=6, bfly12(237)=1+j-1075
pre_bfly12(238)=32688+j-14904, index2_re(238)=6, index2_im(238)=6, bfly12(238)=255+j-117
pre_bfly12(239)=-123444+j-17421, index2_re(239)=6, index2_im(239)=6, bfly12(239)=-965+j-137
pre_bfly12(240)=43910+j121503, index2_re(240)=6, index2_im(240)=6, bfly12(240)=343+j949
pre_bfly12(241)=-136576+j198272, index2_re(241)=5, index2_im(241)=5, bfly12(241)=-534+j774
pre_bfly12(242)=51640+j68801, index2_re(242)=5, index2_im(242)=5, bfly12(242)=201+j268
pre_bfly12(243)=1756+j75295, index2_re(243)=5, index2_im(243)=5, bfly12(243)=6+j294
pre_bfly12(244)=84978+j164394, index2_re(244)=5, index2_im(244)=5, bfly12(244)=331+j642
pre_bfly12(245)=-113171+j2672, index2_re(245)=5, index2_im(245)=5, bfly12(245)=-443+j10
pre_bfly12(246)=-265089+j147523, index2_re(246)=5, index2_im(246)=5, bfly12(246)=-1036+j576
pre_bfly12(247)=34288+j-99785, index2_re(247)=5, index2_im(247)=5, bfly12(247)=133+j-390
pre_bfly12(248)=28995+j-80437, index2_re(248)=5, index2_im(248)=5, bfly12(248)=113+j-315
pre_bfly12(249)=-41600+j-68736, index2_re(249)=5, index2_im(249)=5, bfly12(249)=-163+j-269
pre_bfly12(250)=-113013+j-192465, index2_re(250)=5, index2_im(250)=5, bfly12(250)=-442+j-752
pre_bfly12(251)=134755+j33678, index2_re(251)=5, index2_im(251)=5, bfly12(251)=526+j131
pre_bfly12(252)=-93230+j-320176, index2_re(252)=5, index2_im(252)=5, bfly12(252)=-365+j-1251
pre_bfly12(253)=239322+j-114229, index2_re(253)=5, index2_im(253)=5, bfly12(253)=934+j-447
pre_bfly12(254)=-168280+j223957, index2_re(254)=5, index2_im(254)=5, bfly12(254)=-658+j874
pre_bfly12(255)=-51056+j-1951, index2_re(255)=5, index2_im(255)=5, bfly12(255)=-200+j-8
pre_bfly12(256)=-47204+j114298, index2_re(256)=5, index2_im(256)=5, bfly12(256)=-185+j446
pre_bfly12(257)=-28160+j44416, index2_re(257)=6, index2_im(257)=6, bfly12(257)=-220+j347
pre_bfly12(258)=233600+j141184, index2_re(258)=6, index2_im(258)=6, bfly12(258)=1825+j1103
pre_bfly12(259)=-149504+j72320, index2_re(259)=6, index2_im(259)=6, bfly12(259)=-1168+j565
pre_bfly12(260)=192256+j127744, index2_re(260)=6, index2_im(260)=6, bfly12(260)=1502+j998
pre_bfly12(261)=-96000+j-24448, index2_re(261)=6, index2_im(261)=6, bfly12(261)=-750+j-191
pre_bfly12(262)=45440+j80640, index2_re(262)=6, index2_im(262)=6, bfly12(262)=355+j630
