sig_pow(ii)=152.692165, noise_pow(ii)=0.081274
sig_pow(ii)=31.058796, noise_pow(ii)=0.076507
sig_pow(ii)=110.561753, noise_pow(ii)=0.014307
sig_pow(ii)=99.835238, noise_pow(ii)=0.026574
sig_pow(ii)=72.195280, noise_pow(ii)=0.056371
sig_pow(ii)=10.404297, noise_pow(ii)=0.008239
sig_pow(ii)=21.068713, noise_pow(ii)=0.007590
sig_pow(ii)=2.931783, noise_pow(ii)=0.014378
sig_pow(ii)=66.130351, noise_pow(ii)=0.007876
sig_pow(ii)=60.639308, noise_pow(ii)=0.016013
sig_pow(ii)=9.319767, noise_pow(ii)=0.031163
sig_pow(ii)=53.700970, noise_pow(ii)=0.114895
sig_pow(ii)=12.973379, noise_pow(ii)=0.022209
sig_pow(ii)=328.881330, noise_pow(ii)=0.059787
sig_pow(ii)=68.631749, noise_pow(ii)=0.004642
sig_pow(ii)=131.862487, noise_pow(ii)=0.013137
sig_pow(ii)=94.249616, noise_pow(ii)=0.021755
sig_pow(ii)=333.233636, noise_pow(ii)=0.012121
sig_pow(ii)=90.486463, noise_pow(ii)=0.019550
sig_pow(ii)=41.614610, noise_pow(ii)=0.029612
sig_pow(ii)=47.318578, noise_pow(ii)=0.003202
sig_pow(ii)=30.231060, noise_pow(ii)=0.022348
sig_pow(ii)=56.918683, noise_pow(ii)=0.012818
sig_pow(ii)=45.503112, noise_pow(ii)=0.014668
sig_pow(ii)=3.807001, noise_pow(ii)=0.034142
sig_pow(ii)=10.409266, noise_pow(ii)=0.037262
sig_pow(ii)=120.440699, noise_pow(ii)=0.000526
sig_pow(ii)=65.871998, noise_pow(ii)=0.001534
sig_pow(ii)=100.934992, noise_pow(ii)=0.054413
sig_pow(ii)=37.518492, noise_pow(ii)=0.002137
sig_pow(ii)=357.712853, noise_pow(ii)=0.021276
sig_pow(ii)=28.853152, noise_pow(ii)=0.001983
sig_pow(ii)=57.054905, noise_pow(ii)=0.018573
sig_pow(ii)=6.596620, noise_pow(ii)=0.026193
sig_pow(ii)=65.519276, noise_pow(ii)=0.025731
sig_pow(ii)=40.712315, noise_pow(ii)=0.005000
sig_pow(ii)=36.081821, noise_pow(ii)=0.014496
sig_pow(ii)=202.057528, noise_pow(ii)=0.012486
sig_pow(ii)=68.315984, noise_pow(ii)=0.009744
sig_pow(ii)=63.037419, noise_pow(ii)=0.040624
sig_pow(ii)=75.474714, noise_pow(ii)=0.003278
sig_pow(ii)=110.943992, noise_pow(ii)=0.036815
sig_pow(ii)=297.529553, noise_pow(ii)=0.061349
sig_pow(ii)=80.647956, noise_pow(ii)=0.019692
sig_pow(ii)=53.808042, noise_pow(ii)=0.015695
sig_pow(ii)=9.213749, noise_pow(ii)=0.000091
sig_pow(ii)=6.053912, noise_pow(ii)=0.002377
sig_pow(ii)=15.425024, noise_pow(ii)=0.002489
sig_pow(ii)=35.940179, noise_pow(ii)=0.025515
sig_pow(ii)=117.632772, noise_pow(ii)=0.116244
sig_pow(ii)=22.197300, noise_pow(ii)=5.607794
sig_pow(ii)=84.725463, noise_pow(ii)=0.014219
sig_pow(ii)=41.933133, noise_pow(ii)=0.000268
sig_pow(ii)=102.387591, noise_pow(ii)=0.025804
sig_pow(ii)=38.624418, noise_pow(ii)=0.002688
sig_pow(ii)=92.094109, noise_pow(ii)=0.035205
sig_pow(ii)=27.572682, noise_pow(ii)=0.039366
sig_pow(ii)=162.106863, noise_pow(ii)=0.018359
sig_pow(ii)=26.739275, noise_pow(ii)=0.188959
sig_pow(ii)=91.688617, noise_pow(ii)=0.010819
sig_pow(ii)=89.793212, noise_pow(ii)=0.020063
sig_pow(ii)=238.056647, noise_pow(ii)=0.041982
sig_pow(ii)=112.891637, noise_pow(ii)=0.036080
sig_pow(ii)=215.671196, noise_pow(ii)=0.009116
sig_pow(ii)=39.778977, noise_pow(ii)=0.005579
sig_pow(ii)=57.760216, noise_pow(ii)=0.007309
sig_pow(ii)=145.258985, noise_pow(ii)=0.009596
sig_pow(ii)=19.587398, noise_pow(ii)=0.032557
sig_pow(ii)=29.786025, noise_pow(ii)=0.015962
sig_pow(ii)=26.651480, noise_pow(ii)=0.020897
sig_pow(ii)=76.992212, noise_pow(ii)=0.167292
